codigo;archivo;imagen_url;url_origen
402;(x32u)MAST.LENGUETAZO T.FRUTI... (cod 402 ).jpeg;/static/productos_img/(x32u)MAST.LENGUETAZO T.FRUTI... (cod 402 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/KHgzMnUpTUFTVC5MRU5HVUVUQVpPIFQuRlJVVEkuLi4gKGNvZDogNDAyICk=.jpeg
404;PALITO DE LA SELVA.......x660g (cod 404 ).jpeg;/static/productos_img/PALITO DE LA SELVA.......x660g (cod 404 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFMSVRPIERFIExBIFNFTFZBLi4uLi4uLng2NjBnIChjb2Q6IDQwNCAp.jpeg
406;CARAM.FLYNN PAFF TUTTI....x70u (cod 406 ).jpeg;/static/productos_img/CARAM.FLYNN PAFF TUTTI....x70u (cod 406 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0FSQU0uRkxZTk4gUEFGRiBUVVRUSS4uLi54NzB1IChjb2Q6IDQwNiAp.jpeg
407;MASTICABLE BILLIKEN YOGURT (cod 407 ).jpeg;/static/productos_img/MASTICABLE BILLIKEN YOGURT (cod 407 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TUFTVElDQUJMRSBCSUxMSUtFTiBZT0dVUlQgKGNvZDogNDA3ICk=.jpeg
408;MASTICABLE BULLDOG X 700G (cod 408 ).jpeg;/static/productos_img/MASTICABLE BULLDOG X 700G (cod 408 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TUFTVElDQUJMRSBCVUxMRE9HIFggNzAwRyAoY29kOiA0MDggKQ==.jpeg
409;CARAM.MAST.DROPSY SELVA..x700g (cod 409 ).jpeg;/static/productos_img/CARAM.MAST.DROPSY SELVA..x700g (cod 409 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0FSQU0uTUFTVC5EUk9QU1kgU0VMVkEuLng3MDBnIChjb2Q6IDQwOSAp.jpeg
501;PASTILLAS BULL DOG UVA X12U (cod 501 ).jpeg;/static/productos_img/PASTILLAS BULL DOG UVA X12U (cod 501 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFTVElMTEFTIEJVTEwgRE9HIFVWQSBYMTJVIChjb2Q6IDUwMSAp.jpeg
504;PASTILLAS BULL DOG MIX TUITTI FRUTTI ACIDA X12U (cod 504 ).jpeg;/static/productos_img/PASTILLAS BULL DOG MIX TUITTI FRUTTI ACIDA X12U (cod 504 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFTVElMTEFTIEJVTEwgRE9HIE1JWCBUVUlUVEkgRlJVVFRJIEFDSURBIFgxMlUgKGNvZDogNTA0ICk=.jpeg
505;PASTILLAS BULL DOG SANDIA ACIDA X 12 UND (cod 505 ).jpeg;/static/productos_img/PASTILLAS BULL DOG SANDIA ACIDA X 12 UND (cod 505 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFTVElMTEFTIEJVTEwgRE9HIFNBTkRJQSBBQ0lEQSBYIDEyIFVORCAoY29kOiA1MDUgKQ==.jpeg
506;PASTILLAS BULL DOG TUTTI FRUTTI LIMONX 12 UND (cod 506 ).jpeg;/static/productos_img/PASTILLAS BULL DOG TUTTI FRUTTI LIMONX 12 UND (cod 506 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFTVElMTEFTIEJVTEwgRE9HIFRVVFRJIEZSVVRUSSAgTElNT05YIDEyIFVORCAoY29kOiA1MDYgKQ==.jpeg
507;PASTILLAS BULL DOG LIMON EXTREME X12 UND (cod 507 ).jpeg;/static/productos_img/PASTILLAS BULL DOG LIMON EXTREME X12 UND (cod 507 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFTVElMTEFTIEJVTEwgRE9HIExJTU9OIEVYVFJFTUUgWDEyIFVORCAoY29kOiA1MDcgKQ==.jpeg
508;LA YAPA...................x36u (cod 508 ).jpeg;/static/productos_img/LA YAPA...................x36u (cod 508 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TEEgWUFQQS4uLi4uLi4uLi4uLi4uLi4uLi54MzZ1IChjb2Q6IDUwOCAp.jpeg
509;PASTILLA PUNCH X60U (cod 509 ).jpeg;/static/productos_img/PASTILLA PUNCH X60U (cod 509 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/UEFTVElMTEEgUFVOQ0ggWDYwVSAoY29kOiA1MDkgKQ==.jpeg
511;MENTITAS MENTA X 12 UND (cod 511 ).jpeg;/static/productos_img/MENTITAS MENTA X 12 UND (cod 511 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TUVOVElUQVMgTUVOVEEgWCAxMiBVTkQgKGNvZDogNTExICk=.jpeg
512;MENTITAS FRUTAL X 12 UND (cod 512 ).jpeg;/static/productos_img/MENTITAS FRUTAL X 12 UND (cod 512 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TUVOVElUQVMgRlJVVEFMIFggMTIgVU5EIChjb2Q6IDUxMiAp.jpeg
